Rank,Name,Networth,Networth in Billions,Age,Country,Source of wealth,Industry
1312,Hua Li,$2.30 ,"$2,300,000,000 ",45,China,Financial services,Others
1312,Lim Kok Thay,$2.30 ,"$2,300,000,000 ",71,Malaysia,Casinos,Others
1312,Kishore Mariwala,$2.30 ,"$2,300,000,000 ",88,India,Consumer goods,Others
1312,Clayton Mathile,$2.30 ,"$2,300,000,000 ",82,United States,Pet food,Others
1312,Mi Enhua,$2.30 ,"$2,300,000,000 ",65,China,Retail,Others
1312,Vadim Moshkovich,$2.30 ,"$2,300,000,000 ",55,Russia,"Agriculture, land",Others
1312,David Murdock,$2.30 ,"$2,300,000,000 ",99,United States,"Dole, real estate",Others
1312,David Nahmad,$2.30 ,"$2,300,000,000 ",75,Monaco,Art collection,Others
1312,Lirio Parisotto,$2.30 ,"$2,300,000,000 ",69,Brazil,Investments,Others
1312,Augusto Perfetti,$2.30 ,"$2,300,000,000 ",N/A,Italy,Candy,Others
1312,Giorgio Perfetti,$2.30 ,"$2,300,000,000 ",N/A,Italy,Candy,Others
1312,Alberto Prada,$2.30 ,"$2,300,000,000 ",69,Italy,Luxury goods,Others
1312,Marina Prada,$2.30 ,"$2,300,000,000 ",77,Italy,Luxury goods,Others
1312,Filiz Sahenk,$2.30 ,"$2,300,000,000 ",56,Turkey,Diversified,Others
1312,Richard Sands,$2.30 ,"$2,300,000,000 ",72,United States,Liquor,Others
1312,Stephan Schmidheiny,$2.30 ,"$2,300,000,000 ",75,Switzerland,Investments,Others
1312,Alberto Siccardi & family,$2.30 ,"$2,300,000,000 ",78,Switzerland,Medical devices,Others
1312,Stefan Soloviev,$2.30 ,"$2,300,000,000 ",47,United States,"Real estate, grains",Others
1312,Tang Yiu,$2.30 ,"$2,300,000,000 ",89,Hong Kong,Fashion retail,Others
1312,Tian Ming,$2.30 ,"$2,300,000,000 ",69,China,Measuring instruments,Others
1312,T.Y. Tsai,$2.30 ,"$2,300,000,000 ",70,Taiwan,Finance,Others
1312,Jayshree Ullal,$2.30 ,"$2,300,000,000 ",62,United States,Computer networking,Others
1312,Georg von Opel,$2.30 ,"$2,300,000,000 ",56,Switzerland,"Real estate, investments",Others
1312,Lang Walker,$2.30 ,"$2,300,000,000 ",77,Australia,Real estate,Others
1312,Xicheng Wang & family,$2.30 ,"$2,300,000,000 ",74,China,Tires,Others
1312,Wang Zhenhua,$2.30 ,"$2,300,000,000 ",61,China,Real estate,Others
1312,Paul-Heinz Wesjohann & family,$2.30 ,"$2,300,000,000 ",79,Germany,Chicken processing,Others
1312,Xie Bingkun & family,$2.30 ,"$2,300,000,000 ",56,China,Pearlescent pigments,Others
1312,Xu Shugen,$2.30 ,"$2,300,000,000 ",57,China,"Construction, mining machinery",Others
1312,Christoph Zeller,$2.30 ,"$2,300,000,000 ",65,Liechtenstein,Dental materials,Others
1312,Zhang Jingzhang & family,$2.30 ,"$2,300,000,000 ",87,China,Precision machinery,Others
1368,George Argyros & family,$2.20 ,"$2,200,000,000 ",86,United States,"Real estate, investments",Others
1368,Brian Armstrong,$2.20 ,"$2,200,000,000 ",40,United States,Cryptocurrency,Others
1368,Albert Avdolyan,$2.20 ,"$2,200,000,000 ",52,Russia,"Oil, mining",Others
1368,Sezai Bacaksiz,$2.20 ,"$2,200,000,000 ",73,Turkey,Diversified,Others
1368,Aneel Bhusri,$2.20 ,"$2,200,000,000 ",57,United States,Business software,Others
1368,Brett Blundy,$2.20 ,"$2,200,000,000 ",63,Australia,"Retail, agribusiness",Others
1368,J. Hyatt Brown,$2.20 ,"$2,200,000,000 ",85,United States,Insurance,Others
1368,Chen Jinxia,$2.20 ,"$2,200,000,000 ",55,China,Investments,Others
1368,Chen Xueli,$2.20 ,"$2,200,000,000 ",71,China,Pharmaceuticals,Others
1368,Dermot Desmond,$2.20 ,"$2,200,000,000 ",72,Ireland,Finance,Others
1368,Dong Wei,$2.20 ,"$2,200,000,000 ",52,China,Pharmaceuticals,Others
1368,Tom Ford,$2.20 ,"$2,200,000,000 ",61,United States,Fashion,Others
1368,Fu Guangming & family,$2.20 ,"$2,200,000,000 ",69,China,Poultry,Others
1368,Noam Gottesman,$2.20 ,"$2,200,000,000 ",61,United States,Hedge funds,Others
1368,Jeffrey Gundlach,$2.20 ,"$2,200,000,000 ",64,United States,Investments,Others
1368,Hao Hong,$2.20 ,"$2,200,000,000 ",67,United States,Pharmaceuticals,Others
1368,Shmuel Harlap,$2.20 ,"$2,200,000,000 ",78,Israel,Automotive,Others
1368,Hans-Werner Hector,$2.20 ,"$2,200,000,000 ",83,Germany,SAP,Others
1368,Lutz Mario Helmig & family,$2.20 ,"$2,200,000,000 ",76,Germany,Hospitals,Others
1368,Chulong Huang,$2.20 ,"$2,200,000,000 ",64,Canada,Real estate,Others
1368,Thomas James,$2.20 ,"$2,200,000,000 ",80,United States,Finance,Others
1368,James Jannard,$2.20 ,"$2,200,000,000 ",73,United States,Sunglasses,Others
1368,Willis Johnson,$2.20 ,"$2,200,000,000 ",75,United States,Damaged cars,Others
1368,Lai Shixian,$2.20 ,"$2,200,000,000 ",48,China,Sports apparel,Others
1368,Chris Larsen,$2.20 ,"$2,200,000,000 ",62,United States,Cryptocurrency,Others
1368,Solomon Lew,$2.20 ,"$2,200,000,000 ",78,Australia,Retail,Others
1368,Liang Xinjun,$2.20 ,"$2,200,000,000 ",55,China,Conglomerate,Others
1368,Harald Link,$2.20 ,"$2,200,000,000 ",68,Thailand,Diversified,Others
1368,Max Lytvyn,$2.20 ,"$2,200,000,000 ",43,Canada,Software,Others
1368,Igor Makarov,$2.20 ,"$2,200,000,000 ",60,Cyprus,Investments,Others
1368,Howard Marks,$2.20 ,"$2,200,000,000 ",76,United States,Private equity,Others
1368,Charles Munger,$2.20 ,"$2,200,000,000 ",99,United States,Berkshire Hathaway,Others
1368,Adam Neumann,$2.20 ,"$2,200,000,000 ",44,Israel,WeWork,Others
1368,Thi Phuong Thao Nguyen,$2.20 ,"$2,200,000,000 ",52,Vietnam,Airlines,Others
1368,Ni Yongpei & family,$2.20 ,"$2,200,000,000 ",71,China,Beverages,Others
1368,Heloise Pratt,$2.20 ,"$2,200,000,000 ",60,Australia,"Manufacturing, investment",Others
1368,Qi Xiangdong,$2.20 ,"$2,200,000,000 ",52,China,Software,Others
1368,Phillip T. (Terry) Ragon,$2.20 ,"$2,200,000,000 ",73,United States,Health IT,Others
1368,Prathap Reddy,$2.20 ,"$2,200,000,000 ",91,India,Healthcare,Others
1368,Jerry Reinsdorf,$2.20 ,"$2,200,000,000 ",87,United States,Sports teams,Others
1368,Chad Richison,$2.20 ,"$2,200,000,000 ",52,United States,Payroll processing,Others
1368,"Karl Scheufele, III. & family",$2.20 ,"$2,200,000,000 ",84,Switzerland,Jewelry,Others
1368,Alice Schwartz,$2.20 ,"$2,200,000,000 ",96,United States,Biotech,Others
1368,Alex Shevchenko,$2.20 ,"$2,200,000,000 ",43,Canada,Software,Others
1368,Kavitark Ram Shriram,$2.20 ,"$2,200,000,000 ",66,United States,"Venture capital, Google",Others
1368,Jeffrey Soffer,$2.20 ,"$2,200,000,000 ",55,United States,Real estate,Others
1368,William Stone,$2.20 ,"$2,200,000,000 ",67,United States,Software,Others
1368,Henry Swieca,$2.20 ,"$2,200,000,000 ",65,United States,Hedge funds,Others
1368,Harley Sy,$2.20 ,"$2,200,000,000 ",63,Philippines,Diversified,Others
1368,Teresita Sy-Coson,$2.20 ,"$2,200,000,000 ",72,Philippines,Diversified,Others
1368,Katsumi Tada,$2.20 ,"$2,200,000,000 ",77,Japan,Real estate,Others
1368,Tang Jinkui & family,$2.20 ,"$2,200,000,000 ",67,China,"Textiles, petrochemicals",Others
1368,Tang Xiao'ou,$2.20 ,"$2,200,000,000 ",55,Hong Kong,Software,Others
1368,Lottie Tham & family,$2.20 ,"$2,200,000,000 ",73,Sweden,H&M,Others
1368,Shamsheer Vayalil,$2.20 ,"$2,200,000,000 ",46,India,Healthcare,Others
1368,Radha Vembu,$2.20 ,"$2,200,000,000 ",50,India,Business software,Others
1368,Wang Wenmo,$2.20 ,"$2,200,000,000 ",66,China,Sports apparel,Others
1368,Wang Zhenghua,$2.20 ,"$2,200,000,000 ",78,China,Budget airline,Others
1368,David Wertheim,$2.20 ,"$2,200,000,000 ",65,Israel,Coca-Cola Israel,Others
1368,Kai Wu,$2.20 ,"$2,200,000,000 ",55,China,Batteries,Others
1368,Xu Yingzhuo,$2.20 ,"$2,200,000,000 ",55,China,Agribusiness,Others
1368,Yeung Kin-man,$2.20 ,"$2,200,000,000 ",59,Hong Kong,Electronics,Others
1368,Huijiao Yu,$2.20 ,"$2,200,000,000 ",57,China,Package delivery,Others
1368,Oren Zeev,$2.20 ,"$2,200,000,000 ",58,Israel,Investments,Others
1368,Clayton Zekelman,$2.20 ,"$2,200,000,000 ",54,Canada,Steel,Others
1368,Zhao Fenggang,$2.20 ,"$2,200,000,000 ",57,China,Batteries,Others
1434,Alex Beard,$2.10 ,"$2,100,000,000 ",55,United Kingdom,"Mining, commodities",Others
1434,Travis Boersma,$2.10 ,"$2,100,000,000 ",52,United States,Coffee,Others
1434,Martin Bouygues,$2.10 ,"$2,100,000,000 ",N/A,France,"Construction, media",Others
1434,Olivier Bouygues,$2.10 ,"$2,100,000,000 ",72,France,"Construction, media",Others
1434,William Boyd & family,$2.10 ,"$2,100,000,000 ",91,United States,"Casinos, banking",Others
1434,Anand Burman,$2.10 ,"$2,100,000,000 ",70,India,Consumer goods,Others
1434,Cao Ji,$2.10 ,"$2,100,000,000 ",71,China,Manufacturing,Others
1434,Bruce Cheng,$2.10 ,"$2,100,000,000 ",86,Taiwan,Electronics,Others
1434,Chi Yufeng,$2.10 ,"$2,100,000,000 ",52,China,Software,Others
1434,Daniel Chiu,$2.10 ,"$2,100,000,000 ",62,Hong Kong,Oil & gas,Others
1434,Beda Diethelm,$2.10 ,"$2,100,000,000 ",82,Switzerland,Hearing aids,Others
1434,Domenico Dolce,$2.10 ,"$2,100,000,000 ",64,Italy,Luxury goods,Others
1434,Ralph Dommermuth,$2.10 ,"$2,100,000,000 ",59,Germany,Internet service provider,Others
1434,Georgi Domuschiev,$2.10 ,"$2,100,000,000 ",50,Bulgaria,"Animal health, investments",Others
1434,Kiril Domuschiev,$2.10 ,"$2,100,000,000 ",53,Bulgaria,"Animal health, investments",Others
1434,Bob Ell,$2.10 ,"$2,100,000,000 ",78,Australia,Real estate,Others
1434,Paul Foster,$2.10 ,"$2,100,000,000 ",65,United States,Oil refining,Others
1434,Stefano Gabbana,$2.10 ,"$2,100,000,000 ",60,Italy,Luxury goods,Others
1434,Xingjiang Gao,$2.10 ,"$2,100,000,000 ",59,China,Steel,Others
1434,Gordon Getty,$2.10 ,"$2,100,000,000 ",89,United States,Getty Oil,Others
1434,Kamal Ghaffarian,$2.10 ,"$2,100,000,000 ",64,United States,"Space, energy",Others
1434,Dennis Gillings,$2.10 ,"$2,100,000,000 ",78,United Kingdom,Clinical trials,Others
1434,Harsh Goenka,$2.10 ,"$2,100,000,000 ",65,India,Diversified,Others
1434,Sanjiv Goenka,$2.10 ,"$2,100,000,000 ",62,India,Diversified,Others
1434,Jane Goldman,$2.10 ,"$2,100,000,000 ",67,United States,Real estate,Others
1434,Stein Erik Hagen,$2.10 ,"$2,100,000,000 ",66,Norway,Consumer goods,Others
1434,Bahaa Hariri,$2.10 ,"$2,100,000,000 ",56,Lebanon,"Real estate, investments",Others
1434,Hortensia Herrero,$2.10 ,"$2,100,000,000 ",72,Spain,Supermarkets,Others
1434,Douglas Hsu,$2.10 ,"$2,100,000,000 ",80,Taiwan,Diversified,Others
1434,Huang Min,$2.10 ,"$2,100,000,000 ",49,China,Machinery,Others
1434,Jared Isaacman,$2.10 ,"$2,100,000,000 ",40,United States,Payment processing,Others
1434,Eugene Kaspersky,$2.10 ,"$2,100,000,000 ",57,Russia,Software,Others
1434,Artem Khachatryan,$2.10 ,"$2,100,000,000 ",48,Russia,Retail,Others
1434,Andrei Krivenko,$2.10 ,"$2,100,000,000 ",47,Russia,Retail,Others
1434,Thomas Kwok,$2.10 ,"$2,100,000,000 ",71,Hong Kong,Real estate,Others
1434,Lam Wai-ying,$2.10 ,"$2,100,000,000 ",N/A,Hong Kong,Smartphone screens,Others
1434,Marc Lasry,$2.10 ,"$2,100,000,000 ",62,United States,Hedge funds,Others
1434,Christian Latouche & family,$2.10 ,"$2,100,000,000 ",82,France,Accounting services,Others
1434,Theodore Leonsis,$2.10 ,"$2,100,000,000 ",67,United States,Sports teams,Others
1434,Lin Chang Su-O,$2.10 ,"$2,100,000,000 ",82,Taiwan,Real estate,Others
1434,Liu Chengyu & family,$2.10 ,"$2,100,000,000 ",60,China,Power supply equipment,Others
1434,Sergey Lomakin,$2.10 ,"$2,100,000,000 ",49,Russia,Retail,Others
1434,Daniel Lubetzky,$2.10 ,"$2,100,000,000 ",54,United States,Snack bars,Others
1434,Melissa Ma,$2.10 ,"$2,100,000,000 ",N/A,China,Internet search,Others
1434,Anand Mahindra,$2.10 ,"$2,100,000,000 ",67,India,Diversified,Others
1434,Rafique Malik,$2.10 ,"$2,100,000,000 ",72,India,Footwear,Others
1434,Katarina Martinson,$2.10 ,"$2,100,000,000 ",41,Sweden,Investments,Others
1434,Kiran Mazumdar-Shaw,$2.10 ,"$2,100,000,000 ",70,India,Biopharmaceuticals,Others
1434,Nirmal Minda,$2.10 ,"$2,100,000,000 ",65,India,Auto parts,Others
1434,Mu Rongjun,$2.10 ,"$2,100,000,000 ",43,China,E-commerce,Others
1434,Eugene Murtagh,$2.10 ,"$2,100,000,000 ",80,Ireland,Building materials,Others
1434,Alexander Nesis,$2.10 ,"$2,100,000,000 ",60,Russia,"Metals, banking, fertilizers",Others
1434,Zugen Ni,$2.10 ,"$2,100,000,000 ",66,China,Appliances,Others
1434,Florentino Perez,$2.10 ,"$2,100,000,000 ",76,Spain,Construction,Others
1434,Victor Pinchuk,$2.10 ,"$2,100,000,000 ",62,Ukraine,"Steel pipes, diversified",Others
1434,Leonid Radvinsky,$2.10 ,"$2,100,000,000 ",40,United States,E-commerce,Others
1434,Raveendran Byju,$2.10 ,"$2,100,000,000 ",41,India,Education technology,Others
1434,P.P. Reddy,$2.10 ,"$2,100,000,000 ",65,India,Infrastructure,Others
1434,Richard Saghian,$2.10 ,"$2,100,000,000 ",41,United States,Fast fashion,Others
1434,Shi Yifeng,$2.10 ,"$2,100,000,000 ",49,China,Medical cosmetics,Others
1434,Thaksin Shinawatra,$2.10 ,"$2,100,000,000 ",73,Thailand,Investments,Others
1434,Shu Ping,$2.10 ,"$2,100,000,000 ",53,Singapore,Restaurants,Others
1434,Timothy Springer,$2.10 ,"$2,100,000,000 ",75,United States,Biotech,Others
1434,Venu Srinivasan,$2.10 ,"$2,100,000,000 ",70,India,Two-wheelers,Others
1434,Edward Stack,$2.10 ,"$2,100,000,000 ",68,United States,Dick's Sporting Goods,Others
1434,Sun Mengquan & family,$2.10 ,"$2,100,000,000 ",73,China,Edible oil,Others
1434,Alexander Svetakov,$2.10 ,"$2,100,000,000 ",55,Russia,Real estate,Others
1434,Torsten Toeller,$2.10 ,"$2,100,000,000 ",56,Germany,Pet food,Others
1434,Barbara Tyson,$2.10 ,"$2,100,000,000 ",74,United States,Food processing,Others
1434,Hamdi Ulukaya,$2.10 ,"$2,100,000,000 ",50,Turkey,Greek yogurt,Others
1434,Wang Linpeng,$2.10 ,"$2,100,000,000 ",54,China,Furniture retailing,Others
1434,Wei Ing-Chou,$2.10 ,"$2,100,000,000 ",69,Taiwan,"Food, beverages",Others
1434,Wei Yin-Chun,$2.10 ,"$2,100,000,000 ",66,Taiwan,"Food, beverages",Others
1434,Wei Yin-Heng,$2.10 ,"$2,100,000,000 ",64,Taiwan,"Food, beverages",Others
1434,Wei Ying-Chiao,$2.10 ,"$2,100,000,000 ",68,Taiwan,"Food, beverages",Others
1434,Elaine Wynn,$2.10 ,"$2,100,000,000 ",80,United States,"Casinos, hotels",Others
1434,Xu Xudong & family,$2.10 ,"$2,100,000,000 ",53,China,Auto parts,Others
1434,Michael Ying,$2.10 ,"$2,100,000,000 ",73,Hong Kong,Retail,Others
1434,Yu Qibing & family,$2.10 ,"$2,100,000,000 ",57,China,Glass,Others
1434,Yuan Fugen & family,$2.10 ,"$2,100,000,000 ",72,China,Metal processing,Others
1434,Zhang Ning & family,$2.10 ,"$2,100,000,000 ",49,Canada,Chemicals,Others
1434,Zhao Tao,$2.10 ,"$2,100,000,000 ",57,Singapore,Pharmaceuticals,Others
1516,Anu Aga,$2 ,"$2,000,000,000 ",80,India,Engineering,Others
1516,Mohamed Al Fayed,$2 ,"$2,000,000,000 ",94,Egypt,"Retail, investments",Others
1516,Andrey Andreev,$2 ,"$2,000,000,000 ",49,United Kingdom,Online dating,Others
1516,Michael Ashcroft,$2 ,"$2,000,000,000 ",77,United Kingdom,Security,Others
1516,Pavel Baudis,$2 ,"$2,000,000,000 ",62,Czech Republic,Software,Others
1516,Wilhelm Beier & family,$2 ,"$2,000,000,000 ",66,Germany,Pharmaceuticals,Others
1516,Cao Jianwei,$2 ,"$2,000,000,000 ",44,China,Semiconductors,Others
1516,Huwen Chen,$2 ,"$2,000,000,000 ",52,China,Stationery,Others
1516,Phongthep Chiaravanont,$2 ,"$2,000,000,000 ",71,Thailand,Diversified,Others
1516,Dou Zhenggang,$2 ,"$2,000,000,000 ",69,China,"Energy, chemicals",Others
1516,Maria Franca Fissolo,$2 ,"$2,000,000,000 ",88,Italy,"Nutella, chocolates",Others
1516,William Franke,$2 ,"$2,000,000,000 ",85,United States,Low-cost airlines,Others
1516,Mario Germano Giuliani,$2 ,"$2,000,000,000 ",51,Switzerland,Pharmaceuticals,Others
1516,Amy Goldman Fowler,$2 ,"$2,000,000,000 ",68,United States,Real estate,Others
1516,John Hancock,$2 ,"$2,000,000,000 ",47,Australia,Mining,Others
1516,Hu Yangzhong,$2 ,"$2,000,000,000 ",58,China,Technology,Others
1516,Huang Dawen,$2 ,"$2,000,000,000 ",62,Hong Kong,Silicon,Others
1516,Huang Qiaoling,$2 ,"$2,000,000,000 ",64,China,Amusement parks,Others
1516,Rajiv Jain,$2 ,"$2,000,000,000 ",55,United States,Finance,Others
1516,Michael Jordan,$2 ,"$2,000,000,000 ",60,United States,"Charlotte Hornets, endorsements",Others
1516,Diane Kemper,$2 ,"$2,000,000,000 ",77,United States,Real estate,Others
1516,Shlomo Kramer,$2 ,"$2,000,000,000 ",57,Israel,"Software, investments",Others
1516,Heikki Kyostila,$2 ,"$2,000,000,000 ",77,Finland,Dental products,Others
1516,Martin Lau,$2 ,"$2,000,000,000 ",50,Hong Kong,E-commerce,Others
1516,Li Min,$2 ,"$2,000,000,000 ",57,China,Semiconductor,Others
1516,Liang Rubo,$2 ,"$2,000,000,000 ",40,China,TikTok,Others
1516,Liang Zhaoxian,$2 ,"$2,000,000,000 ",58,China,Appliances,Others
1516,Lin Fanlian,$2 ,"$2,000,000,000 ",61,China,"Energy, real estate",Others
1516,Aloke Lohia,$2 ,"$2,000,000,000 ",64,India,Petrochemicals,Others
1516,Bill Malhotra,$2 ,"$2,000,000,000 ",73,Canada,Real estate,Others
1516,Alexander Mamut,$2 ,"$2,000,000,000 ",63,Russia,Investments,Others
1516,Craig McCaw,$2 ,"$2,000,000,000 ",73,United States,Telecom,Others
1516,Cunhui Nan,$2 ,"$2,000,000,000 ",59,China,Power equipment,Others
1516,Tengyun Nie & family,$2 ,"$2,000,000,000 ",47,China,Logistics,Others
1516,Oei Hong Leong,$2 ,"$2,000,000,000 ",75,Singapore,Investments,Others
1516,Clive Palmer,$2 ,"$2,000,000,000 ",69,Australia,Mining,Others
1516,Matthew Prince,$2 ,"$2,000,000,000 ",48,United States,Cybersecurity,Others
1516,Linda Pritzker,$2 ,"$2,000,000,000 ",69,United States,"Hotels, investments",Others
1516,P.V. Krishna Reddy,$2 ,"$2,000,000,000 ",53,India,Infrastructure,Others
1516,Bianca Rinehart,$2 ,"$2,000,000,000 ",46,Australia,Mining,Others
1516,Ginia Rinehart,$2 ,"$2,000,000,000 ",36,Australia,Mining,Others
1516,T. Denny Sanford,$2 ,"$2,000,000,000 ",87,United States,"Banking, credit cards",Others
1516,Bhadresh Shah,$2 ,"$2,000,000,000 ",71,India,Engineering,Others
1516,Zygmunt Solorz-Zak,$2 ,"$2,000,000,000 ",66,Poland,TV broadcasting,Others
1516,Michal Strnad,$2 ,"$2,000,000,000 ",30,Czech Republic,Defense Contracting,Others
1516,Sylvia Stroeher,$2 ,"$2,000,000,000 ",67,Germany,Cosmetics,Others
1516,Otto Toto Sugiri,$2 ,"$2,000,000,000 ",69,Indonesia,Data centers,Others
1516,Larry Tanenbaum,$2 ,"$2,000,000,000 ",77,Canada,Sports,Others
1516,Wichai Thongtang,$2 ,"$2,000,000,000 ",76,Thailand,Investments,Others
1516,Ion Tiriac,$2 ,"$2,000,000,000 ",83,Romania,"Banking, insurance",Others
1516,Hope Welker,$2 ,"$2,000,000,000 ",37,Australia,Mining,Others
1516,William Young,$2 ,"$2,000,000,000 ",82,United States,Plastics,Others
1516,Ales Zavoral,$2 ,"$2,000,000,000 ",46,Czech Republic,E-commerce,Others
1516,Zhang Fan,$2 ,"$2,000,000,000 ",57,China,Touch screens,Others
1516,Shilong Zhang & family,$2 ,"$2,000,000,000 ",57,China,Semiconductor,Others
1516,Zhang Wanzhen,$2 ,"$2,000,000,000 ",73,China,Electronics components,Others
1516,Hongfei Zhao,$2 ,"$2,000,000,000 ",48,China,Software,Others
1516,Zhou Jian,$2 ,"$2,000,000,000 ",46,China,Solar energy equipment,Others
1516,Zhu Yiwen & family,$2 ,"$2,000,000,000 ",59,China,Healthcare,Others
1575,Roberto Angelini Rossi,$1.90 ,"$1,900,000,000 ",74,Chile,"Forestry, mining",Others
1575,Mika Anttonen,$1.90 ,"$1,900,000,000 ",56,Finland,Oil & gas,Others
1575,David Blitzer,$1.90 ,"$1,900,000,000 ",53,United States,Sports,Others
1575,Julio Bozano,$1.90 ,"$1,900,000,000 ",87,Brazil,Banking,Others
1575,Nikolai Buinov,$1.90 ,"$1,900,000,000 ",55,Russia,"Oil, gas",Others
1575,Nicola Bulgari,$1.90 ,"$1,900,000,000 ",82,Italy,Luxury goods,Others
1575,"Howard Butt, III. & family",$1.90 ,"$1,900,000,000 ",71,United States,Supermarkets,Others
1575,Stephen Butt & family,$1.90 ,"$1,900,000,000 ",67,United States,Supermarkets,Others
1575,Jianxing Che,$1.90 ,"$1,900,000,000 ",56,China,Furniture retailing,Others
1575,Huxiong Chen,$1.90 ,"$1,900,000,000 ",52,China,Stationery,Manufacturing
1575,Chen Qiongxiang,$1.90 ,"$1,900,000,000 ",N/A,China,Batteries,Energy
1575,Chen Zhisong,$1.90 ,"$1,900,000,000 ",57,China,Communication equipment,Technology
1575,Manas Chiaravanond,$1.90 ,"$1,900,000,000 ",N/A,Thailand,Diversified,Diversified
1575,Prathip Chiravanond,$1.90 ,"$1,900,000,000 ",74,Thailand,Diversified,Diversified
1575,Alexandra Daitch,$1.90 ,"$1,900,000,000 ",60,United States,Cargill,Food & Beverage
1575,Sol Daurella,$1.90 ,"$1,900,000,000 ",57,Spain,Coca-Cola bottler,Food & Beverage
1575,Mark Davis,$1.90 ,"$1,900,000,000 ",67,United States,Las Vegas Raiders,Sports
1575,James Dinan,$1.90 ,"$1,900,000,000 ",63,United States,Hedge funds,Finance & Investments
1575,Dong Fan,$1.90 ,"$1,900,000,000 ",53,China,Medical devices,Healthcare
1575,Fritz Draexlmaier,$1.90 ,"$1,900,000,000 ",N/A,Germany,Auto parts,Automotive
1575,Bulent Eczacibasi,$1.90 ,"$1,900,000,000 ",73,Turkey,"Pharmaceuticals, diversified",Diversified
1575,"Howard Butt, III. & family",$1.90 ,"$1,900,000,000 ",71,United States,Supermarkets,Fashion & Retail
1575,Stephen Butt & family,$1.90 ,"$1,900,000,000 ",67,United States,Supermarkets,Fashion & Retail
1575,Jianxing Che,$1.90 ,"$1,900,000,000 ",56,China,Furniture retailing,Fashion & Retail
1575,Faruk Eczacibasi,$1.90 ,"$1,900,000,000 ",68,Turkey,"Pharmaceuticals, diversified",Diversified
1575,Eduardo Eurnekian,$1.90 ,"$1,900,000,000 ",90,Argentina,"Airports, investments",Diversified
1575,David Fong,$1.90 ,"$1,900,000,000 ",65,Hong Kong,Real estate,Real Estate
1575,Guo Zhenyu & family,$1.90 ,"$1,900,000,000 ",59,Canada,Cosmetics,Fashion & Retail
1575,Surjit Kumar Gupta,$1.90 ,"$1,900,000,000 ",81,India,Electrical equipment,Manufacturing
1575,Caroline Hagen Kjos,$1.90 ,"$1,900,000,000 ",39,Norway,Conglomerate,Diversified
1575,Roberto Hernandez Ramirez,$1.90 ,"$1,900,000,000 ",81,Mexico,"Banking, investments",Finance & Investments
1575,Reid Hoffman,$1.90 ,"$1,900,000,000 ",55,United States,LinkedIn,Technology
1575,Hu Rongda & family,$1.90 ,"$1,900,000,000 ",64,China,Chemicals,Manufacturing
1575,"B. Wayne Hughes, Jr.",$1.90 ,"$1,900,000,000 ",63,United States,Storage facilities,Real Estate
1575,Hui Wing Mau,$1.90 ,"$1,900,000,000 ",72,Hong Kong,Real estate,Real Estate
1575,Scott Kapnick,$1.90 ,"$1,900,000,000 ",64,United States,Private equity,Finance & Investments
1575,Richard Kayne,$1.90 ,"$1,900,000,000 ",77,United States,Investments,Finance & Investments
1575,Dominika Kulczyk,$1.90 ,"$1,900,000,000 ",45,Poland,Diversified,Finance & Investments
1575,Edward Lampert,$1.90 ,"$1,900,000,000 ",60,United States,Sears,Finance & Investments
1575,Somsri Lamsam,$1.90 ,"$1,900,000,000 ",N/A,Thailand,Diversified,Diversified
1575,James Leprino,$1.90 ,"$1,900,000,000 ",85,United States,Cheese,Food & Beverage
1575,David Lichtenstein,$1.90 ,"$1,900,000,000 ",61,United States,Real estate,Real Estate
1575,Lin Dingqiang & family,$1.90 ,"$1,900,000,000 ",56,Hong Kong,Real estate,Real Estate
1575,Sarah MacMillan,$1.90 ,"$1,900,000,000 ",69,United States,Cargill,Food & Beverage
1575,Strive Masiyiwa,$1.90 ,"$1,900,000,000 ",62,Zimbabwe,Telecom,Telecom
1575,Robert Miller,$1.90 ,"$1,900,000,000 ",89,United Kingdom,Retail,Fashion & Retail
1575,Simon Nixon,$1.90 ,"$1,900,000,000 ",55,United Kingdom,Price comparison website,Technology
1575,Kentaro Ogawa,$1.90 ,"$1,900,000,000 ",74,Japan,Restaurants,Food & Beverage
1575,Ajay Parekh,$1.90 ,"$1,900,000,000 ",65,India,Adhesives,Manufacturing
1575,Narendrakumar Parekh,$1.90 ,"$1,900,000,000 ",84,India,Adhesives,Manufacturing
1575,Jennifer Pritzker,$1.90 ,"$1,900,000,000 ",72,United States,"Hotels, investments",Finance & Investments
1575,G. Rajendran,$1.90 ,"$1,900,000,000 ",80,India,Jewellery,Fashion & Retail
1575,Ren Jianhua,$1.90 ,"$1,900,000,000 ",66,China,Kitchen appliances,Manufacturing
1575,Larry Robbins,$1.90 ,"$1,900,000,000 ",53,United States,Hedge funds,Finance & Investments
1575,Dwight Schar,$1.90 ,"$1,900,000,000 ",81,United States,"Homebuilding, NFL team",Construction & Engineering
1575,Shao Jianxiong,$1.90 ,"$1,900,000,000 ",N/A,China,Photovoltaics,Energy
1575,Qinxiang Shao,$1.90 ,"$1,900,000,000 ",68,China,Diversified,Manufacturing
1575,Hua Shen,$1.90 ,"$1,900,000,000 ",60,United States,Semiconductors,Technology
1575,Shi Wen-long,$1.90 ,"$1,900,000,000 ",95,Taiwan,Plastics,Manufacturing
1575,Peter Sondakh,$1.90 ,"$1,900,000,000 ",73,Indonesia,Investments,Finance & Investments
